Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
0,CH01,462.562500,,0.000000,,88.5,88.5,023,NN,FM,12.50,,FRS/GMRS CH1,,,
1,CH02,462.587500,,0.000000,,88.5,88.5,023,NN,FM,12.50,,FRS/GMRS CH2,,,
2,CH03,462.612500,,0.000000,,88.5,88.5,023,NN,FM,12.50,,FRS/GMRS CH3,,,
3,CH04,462.637500,,0.000000,,88.5,88.5,023,NN,FM,12.50,,FRS/GMRS CH4,,,
4,CH05,462.662500,,0.000000,,88.5,88.5,023,NN,FM,12.50,,FRS/GMRS CH5,,,
5,CH06,462.687500,,0.000000,,88.5,88.5,023,NN,FM,12.50,,FRS/GMRS CH6,,,
6,CH07,462.712500,,0.000000,,88.5,88.5,023,NN,FM,12.50,,FRS/GMRS CH7,,,
7,CH08,467.562500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,FRS CH8 LOW PWR,,,
8,CH09,467.587500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,FRS CH9 LOW PWR,,,
9,CH10,467.612500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,FRS CH10 LOW PWR,,,
10,CH11,467.637500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,FRS CH11 LOW PWR,,,
11,CH12,467.662500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,FRS CH12 LOW PWR,,,
12,CH13,467.687500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,FRS CH13 LOW PWR,,,
13,CH14,467.712500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,FRS CH14 LOW PWR,,,
14,CH15,462.550000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,GMRS CH15,,,
15,CH16,462.575000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,GMRS CH16,,,
16,CH17,462.600000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,GMRS CH17,,,
17,CH18,462.625000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,GMRS CH18,,,
18,CH19,462.650000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,GMRS CH19,,,
19,CH20,462.675000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,GMRS CH20,,,
20,CH21,462.700000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,GMRS CH21,,,
21,CH22,462.725000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,GMRS CH22,,,
