altitude_ft,altitude_km,fspl_db,prx_dbm,snr_db
100,0.0305,45.42,-1.93,128.07
104,0.0317,45.77,-2.28,127.72
108,0.0331,46.12,-2.63,127.37
113,0.0344,46.47,-2.98,127.02
118,0.0358,46.82,-3.33,126.67
122,0.0373,47.18,-3.69,126.31
128,0.0389,47.53,-4.04,125.96
133,0.0405,47.88,-4.39,125.61
138,0.0421,48.23,-4.74,125.26
144,0.0439,48.58,-5.09,124.91
150,0.0457,48.93,-5.45,124.55
156,0.0476,49.29,-5.80,124.20
163,0.0496,49.64,-6.15,123.85
169,0.0516,49.99,-6.50,123.50
176,0.0537,50.34,-6.85,123.15
184,0.0560,50.69,-7.20,122.80
191,0.0583,51.05,-7.56,122.44
199,0.0607,51.40,-7.91,122.09
207,0.0632,51.75,-8.26,121.74
216,0.0658,52.10,-8.61,121.39
225,0.0685,52.45,-8.96,121.04
234,0.0713,52.80,-9.31,120.69
244,0.0743,53.16,-9.67,120.33
254,0.0774,53.51,-10.02,119.98
264,0.0806,53.86,-10.37,119.63
275,0.0839,54.21,-10.72,119.28
287,0.0874,54.56,-11.07,118.93
298,0.0910,54.91,-11.43,118.57
311,0.0947,55.27,-11.78,118.22
324,0.0986,55.62,-12.13,117.87
337,0.1027,55.97,-12.48,117.52
351,0.1070,56.32,-12.83,117.17
365,0.1114,56.67,-13.18,116.82
381,0.1160,57.03,-13.54,116.46
396,0.1208,57.38,-13.89,116.11
413,0.1258,57.73,-14.24,115.76
430,0.1310,58.08,-14.59,115.41
447,0.1364,58.43,-14.94,115.06
466,0.1420,58.78,-15.29,114.71
485,0.1479,59.14,-15.65,114.35
505,0.1540,59.49,-16.00,114.00
526,0.1604,59.84,-16.35,113.65
548,0.1670,60.19,-16.70,113.30
571,0.1739,60.54,-17.05,112.95
594,0.1811,60.89,-17.41,112.59
619,0.1886,61.25,-17.76,112.24
644,0.1964,61.60,-18.11,111.89
671,0.2045,61.95,-18.46,111.54
699,0.2129,62.30,-18.81,111.19
727,0.2217,62.65,-19.16,110.84
758,0.2309,63.01,-19.52,110.48
789,0.2404,63.36,-19.87,110.13
821,0.2504,63.71,-20.22,109.78
855,0.2607,64.06,-20.57,109.43
891,0.2715,64.41,-20.92,109.08
928,0.2827,64.76,-21.27,108.73
966,0.2944,65.12,-21.63,108.37
1006,0.3066,65.47,-21.98,108.02
1047,0.3192,65.82,-22.33,107.67
1091,0.3324,66.17,-22.68,107.32
1136,0.3462,66.52,-23.03,106.97
1183,0.3605,66.87,-23.38,106.62
1232,0.3754,67.23,-23.74,106.26
1282,0.3909,67.58,-24.09,105.91
1335,0.4070,67.93,-24.44,105.56
1391,0.4239,68.28,-24.79,105.21
1448,0.4414,68.63,-25.14,104.86
1508,0.4596,68.99,-25.50,104.50
1570,0.4786,69.34,-25.85,104.15
1635,0.4984,69.69,-26.20,103.80
1703,0.5190,70.04,-26.55,103.45
1773,0.5405,70.39,-26.90,103.10
1846,0.5628,70.74,-27.25,102.75
1923,0.5860,71.10,-27.61,102.39
2002,0.6103,71.45,-27.96,102.04
2085,0.6355,71.80,-28.31,101.69
2171,0.6618,72.15,-28.66,101.34
2261,0.6891,72.50,-29.01,100.99
2354,0.7176,72.85,-29.36,100.64
2452,0.7472,73.21,-29.72,100.28
2553,0.7781,73.56,-30.07,99.93
2658,0.8103,73.91,-30.42,99.58
2768,0.8438,74.26,-30.77,99.23
2883,0.8786,74.61,-31.12,98.88
3002,0.9150,74.97,-31.48,98.52
3126,0.9528,75.32,-31.83,98.17
