Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,GMRS 15,462.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,GMRS Ch 15 Simplex,,,,
1,GMRS 16,462.575000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,GMRS Ch 16 Simplex,,,,
2,GMRS 17,462.600000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,GMRS Ch 17 Simplex,,,,
3,GMRS 18,462.625000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,GMRS Ch 18 Simplex,,,,
4,GMRS 19,462.650000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,GMRS Ch 19 Simplex,,,,
5,GMRS 20,462.675000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,GMRS Ch 20 Simplex,,,,
6,GMRS 21,462.700000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,GMRS Ch 21 Simplex,,,,
7,GMRS 22,462.725000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,GMRS Ch 22 Simplex,,,,
8,VHF CALL,146.520000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,National VHF Calling Freq,,,,
9,WX DFW,162.400000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,NOAA KEC56 DFW Primary,,,,
10,WX SHRM,162.475000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,NOAA WXK22 Sherman Backup,,,,
11,APRS MON,144.390000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,APRS Monitor Only,,,,
12,W5MRC,146.740000,-,0.600000,Tone,110.9,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,McKinney ARC Main VHF,,,,
13,N5GI-V,145.350000,-,0.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,McKinney VHF,,,,
14,WD5ERD,147.180000,+,0.600000,Tone,107.2,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Allen VHF,,,,
15,N5GI-U,442.575000,+,5.000000,Tone,127.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,McKinney UHF,,,,
16,KF5TU,442.350000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,McKinney UHF,,,,
17,W5MRA,443.200000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Melissa UHF,,,,
18,WB5WPA,442.550000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Allen UHF No Tone,,,,
19,K5PRK,444.250000,+,5.000000,Tone,79.7,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Allen UHF,,,,
20,K5RA-U,441.500000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Allen UHF No Tone,,,,
21,N5UIG,441.300000,+,5.000000,Tone,179.9,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Plano UHF,,,,
22,KD5ZQN,441.350000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Plano UHF,,,,
23,N5NH,441.725000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Plano UHF,,,,
24,N5TPS-U,442.050000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Prosper UHF No Tone,,,,
25,W5ROK,441.875000,+,5.000000,Tone,131.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Richardson UHF,,,,
