director_in,director_mm,gain_dbi,swr,z_real,z_imag
11.4465,290.7,6.860,1.554,76.43,7.47
11.5068,292.3,6.871,1.555,76.46,7.48
11.5670,293.8,6.883,1.555,76.50,7.49
11.6273,295.3,6.894,1.556,76.53,7.50
11.6875,296.9,6.905,1.557,76.57,7.51
11.7478,298.4,6.916,1.558,76.60,7.52
11.8080,299.9,6.928,1.558,76.64,7.53
11.8682,301.5,6.939,1.559,76.67,7.54
11.9285,303.0,6.950,1.560,76.71,7.55
11.9887,304.5,6.961,1.560,76.74,7.56
12.0490,306.0,6.951,1.561,76.77,7.57
12.1092,307.6,6.940,1.562,76.81,7.58
12.1695,309.1,6.928,1.562,76.84,7.58
12.2297,310.6,6.917,1.563,76.88,7.59
12.2900,312.2,6.906,1.564,76.91,7.60
12.3502,313.7,6.895,1.565,76.94,7.61
12.4105,315.2,6.883,1.565,76.97,7.61
12.4707,316.8,6.872,1.566,77.01,7.62
12.5309,318.3,6.861,1.567,77.04,7.62
12.5912,319.8,6.850,1.567,77.07,7.63
12.6514,321.3,6.839,1.568,77.10,7.63
