theta_deg,e_plane_db
0.1,0.00
0.1,-5.45
0.2,-8.77
0.2,-11.16
0.3,-13.04
0.3,-14.58
0.4,-15.89
0.4,-17.03
0.5,-18.03
0.5,-18.93
0.6,-19.75
0.6,-20.49
0.7,-21.18
0.7,-21.81
0.8,-22.40
0.8,-22.96
0.9,-23.48
0.9,-23.97
1.0,-24.43
1.0,-24.87
1.1,-25.29
1.1,-25.69
1.2,-26.07
1.2,-26.43
1.3,-26.78
1.3,-27.12
1.4,-27.44
1.4,-27.75
1.5,-28.05
1.5,-28.34
1.6,-28.62
1.6,-28.89
1.7,-29.16
1.7,-29.41
1.8,-29.66
1.8,-29.90
1.9,-30.13
1.9,-30.36
2.0,-30.58
2.0,-30.79
2.1,-31.00
2.1,-31.20
2.2,-31.40
2.2,-31.60
2.3,-31.79
2.3,-31.97
2.4,-32.15
2.4,-32.33
2.5,-32.50
2.5,-32.67
2.6,-32.84
2.6,-33.00
2.7,-33.16
2.7,-33.31
2.8,-33.47
2.8,-33.62
2.9,-33.76
2.9,-33.91
3.0,-34.05
3.0,-34.19
3.1,-34.32
3.1,-34.46
3.2,-34.59
3.2,-34.72
3.3,-34.85
3.3,-34.97
3.4,-35.09
3.4,-35.21
3.5,-35.33
3.5,-35.45
3.6,-35.57
3.6,-35.68
3.7,-35.79
3.7,-35.90
3.8,-36.01
3.8,-36.11
3.9,-36.22
3.9,-36.32
4.0,-36.42
4.0,-36.52
4.1,-36.62
4.1,-36.72
4.2,-36.82
4.2,-36.91
4.3,-37.00
4.3,-37.10
4.4,-37.19
4.4,-37.28
4.5,-37.36
4.5,-37.45
4.6,-37.54
4.6,-37.62
4.7,-37.71
4.7,-37.79
4.8,-37.87
4.8,-37.95
4.9,-38.03
4.9,-38.11
5.0,-38.18
5.0,-38.26
5.1,-38.34
5.1,-38.41
5.2,-38.48
5.2,-38.56
5.3,-38.63
5.3,-38.70
5.4,-38.77
5.4,-38.84
5.5,-38.91
5.5,-38.97
5.6,-39.04
5.6,-39.11
5.7,-39.17
5.7,-39.24
5.8,-39.30
5.8,-39.36
5.9,-39.42
5.9,-39.49
6.0,-39.55
6.0,-39.61
6.1,-39.67
6.1,-39.72
6.2,-39.78
6.2,-39.84
6.3,-39.90
6.3,-39.95
6.4,-40.01
6.4,-40.06
6.5,-40.12
6.5,-40.17
6.6,-40.22
6.6,-40.27
6.7,-40.33
6.7,-40.38
6.8,-40.43
6.8,-40.48
6.9,-40.53
6.9,-40.58
7.0,-40.62
7.0,-40.67
7.1,-40.72
7.1,-40.77
7.2,-40.81
7.2,-40.86
7.3,-40.90
7.3,-40.95
7.4,-40.99
7.4,-41.04
7.5,-41.08
7.5,-41.12
7.6,-41.17
7.6,-41.21
7.7,-41.25
7.7,-41.29
7.8,-41.33
7.8,-41.37
7.9,-41.41
7.9,-41.45
8.0,-41.49
8.0,-41.53
8.1,-41.57
8.1,-41.61
8.2,-41.64
8.2,-41.68
8.3,-41.72
8.3,-41.75
8.4,-41.79
8.4,-41.82
8.5,-41.86
8.5,-41.89
8.6,-41.93
8.6,-41.96
8.7,-42.00
8.7,-42.03
8.8,-42.06
8.8,-42.09
8.9,-42.13
8.9,-42.16
9.0,-42.19
9.0,-42.22
9.1,-42.25
9.1,-42.28
9.2,-42.31
9.2,-42.34
9.3,-42.37
9.3,-42.40
9.4,-42.43
9.4,-42.46
9.5,-42.49
9.5,-42.52
9.6,-42.54
9.6,-42.57
9.7,-42.60
9.7,-42.63
9.8,-42.65
9.8,-42.68
9.9,-42.71
9.9,-42.73
10.0,-42.76
10.0,-42.78
10.1,-42.81
10.1,-42.83
10.2,-42.86
10.2,-42.88
10.3,-42.91
10.3,-42.93
10.4,-42.95
10.4,-42.98
10.5,-43.00
10.5,-43.02
10.6,-43.04
10.6,-43.07
10.7,-43.09
10.7,-43.11
10.8,-43.13
10.8,-43.15
10.9,-43.17
10.9,-43.19
11.0,-43.22
11.0,-43.24
11.1,-43.26
11.1,-43.28
11.2,-43.30
11.2,-43.31
11.3,-43.33
11.3,-43.35
11.4,-43.37
11.4,-43.39
11.5,-43.41
11.5,-43.43
11.5,-43.45
11.6,-43.46
11.6,-43.48
11.7,-43.50
11.7,-43.52
11.8,-43.53
11.8,-43.55
11.9,-43.57
11.9,-43.58
12.0,-43.60
12.0,-43.62
12.1,-43.63
12.1,-43.65
12.2,-43.66
12.2,-43.68
12.3,-43.69
12.3,-43.71
12.4,-43.72
12.4,-43.74
12.5,-43.75
12.5,-43.77
12.6,-43.78
12.6,-43.79
12.7,-43.81
12.7,-43.82
12.8,-43.84
12.8,-43.85
12.9,-43.86
12.9,-43.87
13.0,-43.89
13.0,-43.90
13.1,-43.91
13.1,-43.93
13.2,-43.94
13.2,-43.95
13.3,-43.96
13.3,-43.97
13.4,-43.99
13.4,-44.00
13.5,-44.01
13.5,-44.02
13.6,-44.03
13.6,-44.04
13.7,-44.05
13.7,-44.06
13.8,-44.07
13.8,-44.08
13.9,-44.09
13.9,-44.10
14.0,-44.11
14.0,-44.12
14.1,-44.13
14.1,-44.14
14.2,-44.15
14.2,-44.16
14.3,-44.17
14.3,-44.18
14.4,-44.19
14.4,-44.20
14.5,-44.21
14.5,-44.21
14.6,-44.22
14.6,-44.23
14.7,-44.24
14.7,-44.25
14.8,-44.26
14.8,-44.26
14.9,-44.27
14.9,-44.28
15.0,-44.29
15.0,-44.29
15.1,-44.30
15.1,-44.31
15.2,-44.32
15.2,-44.32
15.3,-44.33
15.3,-44.34
15.4,-44.34
15.4,-44.35
15.5,-44.36
15.5,-44.36
15.6,-44.37
15.6,-44.37
15.7,-44.38
15.7,-44.39
15.8,-44.39
15.8,-44.40
15.9,-44.40
15.9,-44.41
16.0,-44.41
16.0,-44.42
16.1,-44.42
16.1,-44.43
16.2,-44.43
16.2,-44.44
16.3,-44.44
16.3,-44.45
